S/N,EMPLOYER CODE,OLD EMPLOYER CODE,REGISTRATION,NAME,SECTOR
63,PR0000027947, ,1564553,PRICELESS INVESTMENT ENGINEERING LIMITED,Advertising and Marketting Research
64,BR0000036390, ,2242059,PROBAND MEDIA SERVICES ,Advertising and Marketting Research
65,PR0000055961, ,82150,QVC TRAVELS LIMITED,Advertising and Marketting Research
66,PR0000054218, ,912963,REGIS INTEGRATED SERVICES LTD,Advertising and Marketting Research
67,PR0000039515, ,1505006,ROCKET SHOP LIMITED,Advertising and Marketting Research
68,PR0000049305, ,1616203,ROYAL-RENACIDO CONSULT LIMITED,Advertising and Marketting Research
69,PR0000034407, ,1603838,SACOLA WORLD INTERCONNECT LIMITED,Advertising and Marketting Research
70,PR0000055534, ,1158560,SADA IDRIS CONSULTING LIMITED,Advertising and Marketting Research
71,PR0000049812, ,707112,SOFTSMART CONSULTANTS LIMITED,Advertising and Marketting Research
72,PR0000034615, ,1123440,SQUAD DIGITAL NIGERIA LIMITED,Advertising and Marketting Research
73,PR0000051843, ,1706437,STEADY VARIABLES NIGERIA LIMITED,Advertising and Marketting Research
74,PR0000037374, ,751924,STRETCH INTERNATIONAL LIMITED,Advertising and Marketting Research
75,PR0000052115, ,1192677,TANTS SHELTER LTD,Advertising and Marketting Research
76,PR0000053341, ,395771,TOTAL PROJECTS LTD,Advertising and Marketting Research
77,PR0000039516, ,1261004,TRIBES MARKETING LIMITED,Advertising and Marketting Research
78,PR0000042346, ,1243844,VICKERS SERVICES LIMITED,Advertising and Marketting Research
79,PR0000046574, ,1235448,VIRTUAL INSIGNIA LTD,Advertising and Marketting Research
80,MPCOS20AES07, ,MPCOS20,AESTHETICIAN,Aesthetician
81,PR0000029856, ,1068294, CAPITAL AGRICULTURAL DEVELOPMENT LIMITED ,Agriculture and Agro Allied
82,PR0000031738, ,1630650, D4 DRILL NIG LTD,Agriculture and Agro Allied
83,PR0000029847, ,617229, PRIME-SOIL LIMITED,Agriculture and Agro Allied
84,PR0000055299, ,1011525, WORLDWIDE ENERGY SUPPLY CHAIN MANAGEMENT LIMITED,Agriculture and Agro Allied
85,PR0001314702, ,1314702,'DEBOWALE FARMS LIMITED,Agriculture and Agro Allied
86,PR0000038985, ,1403259,1512 INTEGRATED FARMS LIMITED,Agriculture and Agro Allied
87,PR0002001323, ,617721,2BOSN FARMS,Agriculture and Agro Allied
88,PR0000053013, ,1574047,365 FARMS LTD,Agriculture and Agro Allied
89,PR0002000562, ,2004143,3A INTEGRATED FARMS,Agriculture and Agro Allied
90,PR0000064234, ,1641216,3G MEGA FIRM LTD,Agriculture and Agro Allied
91,PR0001074864, ,1074864,A & A INTEGRATED LIVESTOCK FARMS LIMITED,Agriculture and Agro Allied
92,PR0000625839, ,RA625839,A & A. BAMALLI AGRIC PRODUCTS LTD,Agriculture and Agro Allied
93,PR0000022652, ,RA022652,A & P LIVESTOCK FARMS LTD,Agriculture and Agro Allied
94,PR0000816467, ,RA816467,A - PLUS AGRO FEEDS LIMITED,Agriculture and Agro Allied
95,PR0000772482, ,772482,A . A AL - JAZEERA AGRO PROCESSING LIMITED,Agriculture and Agro Allied
96,PR0000510019, ,RA510019,A AND J AGROLOGISTICS LIMITED,Agriculture and Agro Allied
97,PR0000151422, ,RA151422,A O (AFUOBI) FERTILIZER & AGRO INPUT AGENCY LTD,Agriculture and Agro Allied
98,PR0000721051, ,721051,A Y A AGRO- ALLIED NIG LTD,Agriculture and Agro Allied
99,PR0000991786, ,991786,A-BAS IMPEX NIG. LIMITED,Agriculture and Agro Allied
100,PR0000058072, ,RA058072,A. G. UTOMI FARMS NIG. LTD,Agriculture and Agro Allied
101,PR0000626135, ,RA626135,A.A. AGRO ENTERPRISES LIMITED,Agriculture and Agro Allied
102,PR0000600976, ,RA600976,A.A. RANO FARMS LTD,Agriculture and Agro Allied
